Period;Period Sold;Code-Licensor;Name Licensor;CC;Label;LC;Artist;Title;EAN;ISRC;Label Order-Nr;Provider;Shop;Content;Country;Retail Price;Retail Price Currency;Publ.-%;Publ.-min;Publ.a piece;Publ.-EUR;Income;Share %;Share EUR;Sales;Revenue-EUR;Rev.less Publ.EUR
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Beatport;Subscription;IN;0;EUR;0;0;0;0;0,089940984;80;0,083666032;1;0,083666032;0,083666032
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;AppleMusic;Subscription;IL;0;EUR;0;0;0;0;0,005499904;80;0,00511619;1;0,00511619;0,00511619
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;US;0;EUR;0;0;0;0;0,004414286;80;0,004106313;1;0,004106313;0,004106313
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;ES;0;EUR;0;0;0;0;0,004332778;80;0,004030491;1;0,004030491;0,004030491
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,003688278;80;0,003430956;10;0,034309563;0,034309563
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Facebook;Subscription;WW;0;EUR;0;0;0;0;0,003506687;80;0,003262034;1;0,003262034;0,003262034
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,003035925;80;0,002824116;6;0,016944698;0,016944698
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;US;0;EUR;0;0;0;0;0,002277887;80;0,002118965;5;0,010594823;0,010594823
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IT;0;EUR;0;0;0;0;0,00197965;80;0,001841535;1;0,001841535;0,001841535
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,001830415;80;0,001702712;2;0,003405423;0,003405423
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;TR;0;EUR;0;0;0;0;0,000819352;80;0,000762188;5;0,00381094;0,00381094
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;TR;0;EUR;0;0;0;0;0,000367984;80;0,000342311;1;0,000342311;0,000342311
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;YouTube;Subscription;AR;0;EUR;0;0;0;0;0,000140327;80;0,000130537;1;0,000130537;0,000130537
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;YouTube;Subscription;IL;0;EUR;0;0;0;0;0,000058655;80;0,000054563;1;0,000054563;0,000054563
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Amazon;Subscription;US;0;EUR;0;0;0;0;0,011253813;80;0,010468663;1;0,010468663;0,010468663
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;GB;0;EUR;0;0;0;0;0,006293609;80;0,00585452;1;0,00585452;0,00585452
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;CH;0;EUR;0;0;0;0;0,00594667;80;0,005531786;1;0,005531786;0,005531786
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IE;0;EUR;0;0;0;0;0,005929309;80;0,005515636;1;0,005515636;0,005515636
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;BE;0;EUR;0;0;0;0;0,005068603;80;0,00471498;1;0,00471498;0,00471498
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;AU;0;EUR;0;0;0;0;0,004493286;80;0,004179801;1;0,004179801;0,004179801
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;DE;0;EUR;0;0;0;0;0,004301499;80;0,004001394;1;0,004001394;0,004001394
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,003840577;80;0,00357263;8;0,028581038;0,028581038
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,003548222;80;0,003300672;13;0,042908731;0,042908731
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,003177999;80;0,002956278;10;0,029562781;0,029562781
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,002924163;80;0,002720152;8;0,021761213;0,021761213
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;YouTube;Subscription;HR;0;EUR;0;0;0;0;0,002723217;80;0,002533225;1;0,002533225;0,002533225
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Pandora;Subscription;US;0;EUR;0;0;0;0;0,00253536;80;0,002358474;1;0,002358474;0,002358474
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;US;0;EUR;0;0;0;0;0,002273829;80;0,00211519;1;0,00211519;0,00211519
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;US;0;EUR;0;0;0;0;0,002212357;80;0,002058007;3;0,00617402;0,00617402
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IT;0;EUR;0;0;0;0;0,002044549;80;0,001901906;1;0,001901906;0,001901906
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,001756704;80;0,001634143;2;0,003268287;0,003268287
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;BR;0;EUR;0;0;0;0;0,001686825;80;0,00156914;1;0,00156914;0,00156914
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;BR;0;EUR;0;0;0;0;0,001642113;80;0,001527547;1;0,001527547;0,001527547
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;YouTube;Subscription;BR;0;EUR;0;0;0;0;0,001608368;80;0,001496156;1;0,001496156;0,001496156
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,001421024;80;0,001321883;3;0,003965648;0,003965648
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;BR;0;EUR;0;0;0;0;0,001067511;80;0,000993033;1;0,000993033;0,000993033
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Boom App;Subscription;RU;0;EUR;0;0;0;0;0,000936228;80;0,00087091;1;0,00087091;0,00087091
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;TR;0;EUR;0;0;0;0;0,000872264;80;0,000811408;13;0,010548309;0,010548309
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;TR;0;EUR;0;0;0;0;0,000858381;80;0,000798494;3;0,002395482;0,002395482
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;YouTube;Subscription;IL;0;EUR;0;0;0;0;0,000506817;80;0,000471458;1;0,000471458;0,000471458
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;TR;0;EUR;0;0;0;0;0,000467825;80;0,000435186;3;0,001305558;0,001305558
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;TR;0;EUR;0;0;0;0;0,000417121;80;0,00038802;16;0,006208312;0,006208312
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;TR;0;EUR;0;0;0;0;0,00041459;80;0,000385665;3;0,001156995;0,001156995
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,000250119;80;0,000232669;1;0,000232669;0,000232669
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,000174042;80;0,0001619;6;0,000971397;0,000971397
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;Spotify;Subscription;JP;0;EUR;0;0;0;0;0,000145987;80;0,000135802;1;0,000135802;0,000135802
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye feat. Shaman Shaman;Contraa;8,44216E+11;DEBE72100448;TTR069;Zebralution;YouTube;Subscription;QA;0;EUR;0;0;0;0;0,000005171;80;0,00000481;3;0,000014431;0,000014431
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Deezer;Subscription;FR;0;EUR;0;0;0;0;0,006365457;80;0,005921355;1;0,005921355;0,005921355
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;AppleMusic;Subscription;IL;0;EUR;0;0;0;0;0,005499904;80;0,00511619;1;0,00511619;0,00511619
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;DE;0;EUR;0;0;0;0;0,004381738;80;0,004076035;3;0,012228106;0,012228106
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;ES;0;EUR;0;0;0;0;0,004332778;80;0,004030491;1;0,004030491;0,004030491
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;JP;0;EUR;0;0;0;0;0,004255041;80;0,003958178;1;0,003958178;0,003958178
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,003688278;80;0,003430956;8;0,02744765;0,02744765
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;CA;0;EUR;0;0;0;0;0,003469974;80;0,003227883;1;0,003227883;0,003227883
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Deezer;Subscription;FR;0;EUR;0;0;0;0;0,003136528;80;0,0029177;3;0,008753101;0,008753101
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Deezer;Subscription;FR;0;EUR;0;0;0;0;0,00309941;80;0,002883172;2;0,005766344;0,005766344
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,003035925;80;0,002824116;2;0,005648233;0,005648233
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;AppleMusic;Subscription;JP;0;EUR;0;0;0;0;0,002104767;80;0,001957923;3;0,005873768;0,005873768
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;AppleMusic;Subscription;JP;0;EUR;0;0;0;0;0,001989275;80;0,001850488;2;0,003700977;0,003700977
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;MX;0;EUR;0;0;0;0;0,001849882;80;0,00172082;2;0,003441641;0,003441641
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;JP;0;EUR;0;0;0;0;0,000163032;80;0,000151658;1;0,000151658;0,000151658
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;GB;0;EUR;0;0;0;0;0,006498798;80;0,006045393;3;0,01813618;0,01813618
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;GB;0;EUR;0;0;0;0;0,006293609;80;0,00585452;2;0,01170904;0,01170904
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;CH;0;EUR;0;0;0;0;0,00594667;80;0,005531786;2;0,011063572;0,011063572
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;AU;0;EUR;0;0;0;0;0,004493286;80;0,004179801;1;0,004179801;0,004179801
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;DE;0;EUR;0;0;0;0;0,004301499;80;0,004001394;1;0,004001394;0,004001394
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;JP;0;EUR;0;0;0;0;0,004280372;80;0,003981741;2;0,007963483;0,007963483
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,003840577;80;0,00357263;2;0,00714526;0,00714526
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;GB;0;EUR;0;0;0;0;0,003731317;80;0,003470993;3;0,010412978;0,010412978
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Pandora;Subscription;US;0;EUR;0;0;0;0;0,00253536;80;0,002358474;1;0,002358474;0,002358474
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;NL;0;EUR;0;0;0;0;0,002280078;80;0,002121003;2;0,004242006;0,004242006
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,000250119;80;0,000232669;2;0,000465338;0,000465338
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Kibutz Jungle;8,44216E+11;DEBE72100449;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,000174042;80;0,0001619;5;0,000809498;0,000809498
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;IE;0;EUR;0;0;0;0;0,005912166;80;0,005499689;1;0,005499689;0,005499689
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;AppleMusic;Subscription;IL;0;EUR;0;0;0;0;0,005499904;80;0,00511619;1;0,00511619;0,00511619
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,003688278;80;0,003430956;3;0,010292869;0,010292869
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;YouTube (Art Tracks);Subscription;DE;0;EUR;0;0;0;0;0,003375122;80;0,003139648;1;0,003139648;0,003139648
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Pandora;Subscription;US;0;EUR;0;0;0;0;0,002373732;80;0,002208123;1;0,002208123;0,002208123
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;NL;0;EUR;0;0;0;0;0,002235905;80;0,002079912;1;0,002079912;0,002079912
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;BR;0;EUR;0;0;0;0;0,001633689;80;0,001519711;1;0,001519711;0,001519711
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;YouTube (Art Tracks);Subscription;BR;0;EUR;0;0;0;0;0,000892451;80;0,000830187;1;0,000830187;0,000830187
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;YouTube (Art Tracks);Subscription;RU;0;EUR;0;0;0;0;0,00078999;80;0,000734874;1;0,000734874;0,000734874
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;YouTube (Art Tracks);Subscription;BR;0;EUR;0;0;0;0;0,00026432;80;0,000245879;1;0,000245879;0,000245879
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Beatport;Subscription;DK;0;EUR;0;0;0;0;0,053478987;80;0,049747895;1;0,049747895;0,049747895
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Amazon;Subscription;US;0;EUR;0;0;0;0;0,01076329;80;0,010012363;1;0,010012363;0,010012363
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Amazon;Subscription;IT;0;EUR;0;0;0;0;0,00928026;80;0,0086328;1;0,0086328;0,0086328
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;CH;0;EUR;0;0;0;0;0,00594667;80;0,005531786;1;0,005531786;0,005531786
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;IE;0;EUR;0;0;0;0;0,005929309;80;0,005515636;2;0,011031273;0,011031273
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,003840577;80;0,00357263;1;0,00357263;0,00357263
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,003548222;80;0,003300672;1;0,003300672;0,003300672
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Pandora;Subscription;US;0;EUR;0;0;0;0;0,00253536;80;0,002358474;1;0,002358474;0,002358474
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;DE;0;EUR;0;0;0;0;0,0020894;80;0,001943628;1;0,001943628;0,001943628
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;BR;0;EUR;0;0;0;0;0,001686825;80;0,00156914;1;0,00156914;0,00156914
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;TikTok;Subscription;ID;0;EUR;0;0;0;0;0,00166821;80;0,001551823;1;0,001551823;0,001551823
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;PT;0;EUR;0;0;0;0;0,001600616;80;0,001488945;1;0,001488945;0,001488945
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,000250119;80;0,000232669;1;0,000232669;0,000232669
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Calamara;8,44216E+11;DEBE72100450;TTR069;Zebralution;Spotify;Subscription;IL;0;EUR;0;0;0;0;0,000174042;80;0,0001619;5;0,000809498;0,000809498
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Cubia;8,44216E+11;DEBE72100451;TTR069;Zebralution;Amazon;Subscription;US;0;EUR;0;0;0;0;0,011024375;80;0,010255233;1;0,010255233;0,010255233
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Dos Kanye;Cubia;8,44216E+11;DEBE72100451;TTR069;Zebralution;Facebook;Subscription;US;0;EUR;0;0;0;0;0,010772154;80;0,010020608;5;0,050103042;0,050103042
